subject_id,rewarded,presented,bin_coef,target_coef,choice,true_a,true_b,true_mean,true_tau
1,3,7,0.428571429,0.1,1,1.525539175,5.580706787,0.214675819,0.05559186
1,2,5,0.4,0.7,2,1.525539175,5.580706787,0.214675819,0.05559186
1,4,5,0.8,0.2,1,1.525539175,5.580706787,0.214675819,0.05559186
1,2,4,0.5,0.7,2,1.525539175,5.580706787,0.214675819,0.05559186
1,2,5,0.4,0.4,2,1.525539175,5.580706787,0.214675819,0.05559186
1,1,5,0.2,1,2,1.525539175,5.580706787,0.214675819,0.05559186
1,2,4,0.5,0,1,1.525539175,5.580706787,0.214675819,0.05559186
1,1,4,0.25,0.1,1,1.525539175,5.580706787,0.214675819,0.05559186
1,2,4,0.5,0.9,2,1.525539175,5.580706787,0.214675819,0.05559186
1,4,5,0.8,0.3,1,1.525539175,5.580706787,0.214675819,0.05559186
1,2,4,0.5,0.4,2,1.525539175,5.580706787,0.214675819,0.05559186
1,1,4,0.25,0.4,2,1.525539175,5.580706787,0.214675819,0.05559186
1,1,6,0.166666667,0.1,1,1.525539175,5.580706787,0.214675819,0.05559186
1,6,6,1,0.2,1,1.525539175,5.580706787,0.214675819,0.05559186
1,5,7,0.714285714,0.1,1,1.525539175,5.580706787,0.214675819,0.05559186
1,4,6,0.666666667,0.9,2,1.525539175,5.580706787,0.214675819,0.05559186
1,3,5,0.6,0.6,2,1.525539175,5.580706787,0.214675819,0.05559186
1,5,9,0.555555556,0.5,2,1.525539175,5.580706787,0.214675819,0.05559186
1,0,3,0,0.5,2,1.525539175,5.580706787,0.214675819,0.05559186
1,2,3,0.666666667,0.9,2,1.525539175,5.580706787,0.214675819,0.05559186
1,1,4,0.25,0.3,2,1.525539175,5.580706787,0.214675819,0.05559186
1,4,6,0.666666667,0.5,1,1.525539175,5.580706787,0.214675819,0.05559186
1,3,4,0.75,0,1,1.525539175,5.580706787,0.214675819,0.05559186
1,2,3,0.666666667,0,1,1.525539175,5.580706787,0.214675819,0.05559186
1,4,5,0.8,0.6,2,1.525539175,5.580706787,0.214675819,0.05559186
1,1,5,0.2,0.8,2,1.525539175,5.580706787,0.214675819,0.05559186
1,2,3,0.666666667,0.4,1,1.525539175,5.580706787,0.214675819,0.05559186
1,0,5,0,0.8,2,1.525539175,5.580706787,0.214675819,0.05559186
1,7,8,0.875,0.7,2,1.525539175,5.580706787,0.214675819,0.05559186
1,3,3,1,0.9,2,1.525539175,5.580706787,0.214675819,0.05559186
1,1,3,0.333333333,0.7,2,1.525539175,5.580706787,0.214675819,0.05559186
1,2,3,0.666666667,0.6,2,1.525539175,5.580706787,0.214675819,0.05559186
1,1,7,0.142857143,0,1,1.525539175,5.580706787,0.214675819,0.05559186
1,0,4,0,0.9,2,1.525539175,5.580706787,0.214675819,0.05559186
1,2,4,0.5,0.7,2,1.525539175,5.580706787,0.214675819,0.05559186
1,0,3,0,0.8,2,1.525539175,5.580706787,0.214675819,0.05559186
1,1,7,0.142857143,0.2,2,1.525539175,5.580706787,0.214675819,0.05559186
1,2,4,0.5,0.6,2,1.525539175,5.580706787,0.214675819,0.05559186
1,3,4,0.75,0.9,2,1.525539175,5.580706787,0.214675819,0.05559186
1,6,11,0.545454545,0.7,2,1.525539175,5.580706787,0.214675819,0.05559186
1,3,5,0.6,0.8,2,1.525539175,5.580706787,0.214675819,0.05559186
1,3,6,0.5,0.2,1,1.525539175,5.580706787,0.214675819,0.05559186
1,5,6,0.833333333,0.4,1,1.525539175,5.580706787,0.214675819,0.05559186
1,3,5,0.6,0.8,2,1.525539175,5.580706787,0.214675819,0.05559186
1,2,3,0.666666667,0.8,2,1.525539175,5.580706787,0.214675819,0.05559186
1,2,3,0.666666667,0.7,2,1.525539175,5.580706787,0.214675819,0.05559186
1,0,4,0,0.3,2,1.525539175,5.580706787,0.214675819,0.05559186
1,2,5,0.4,0.1,1,1.525539175,5.580706787,0.214675819,0.05559186
1,1,3,0.333333333,0.7,2,1.525539175,5.580706787,0.214675819,0.05559186
1,2,3,0.666666667,0.5,2,1.525539175,5.580706787,0.214675819,0.05559186
1,3,3,1,0.5,2,1.525539175,5.580706787,0.214675819,0.05559186
1,1,4,0.25,0.1,2,1.525539175,5.580706787,0.214675819,0.05559186
1,1,3,0.333333333,0.9,2,1.525539175,5.580706787,0.214675819,0.05559186
1,4,4,1,0.7,2,1.525539175,5.580706787,0.214675819,0.05559186
1,2,6,0.333333333,0.1,1,1.525539175,5.580706787,0.214675819,0.05559186
1,2,6,0.333333333,0.6,2,1.525539175,5.580706787,0.214675819,0.05559186
1,2,8,0.25,1,2,1.525539175,5.580706787,0.214675819,0.05559186
1,4,6,0.666666667,0.4,1,1.525539175,5.580706787,0.214675819,0.05559186
1,1,4,0.25,0.6,2,1.525539175,5.580706787,0.214675819,0.05559186
1,0,5,0,0.7,2,1.525539175,5.580706787,0.214675819,0.05559186
2,0,3,0,0.2,2,1.737040156,4.12382434,0.296379511,0.166414939
2,1,5,0.2,0.6,2,1.737040156,4.12382434,0.296379511,0.166414939
2,1,6,0.166666667,0.8,2,1.737040156,4.12382434,0.296379511,0.166414939
2,1,5,0.2,0.4,2,1.737040156,4.12382434,0.296379511,0.166414939
2,0,3,0,0.7,2,1.737040156,4.12382434,0.296379511,0.166414939
2,0,5,0,0.8,2,1.737040156,4.12382434,0.296379511,0.166414939
2,2,3,0.666666667,0.6,1,1.737040156,4.12382434,0.296379511,0.166414939
2,2,6,0.333333333,0.3,1,1.737040156,4.12382434,0.296379511,0.166414939
2,5,6,0.833333333,0.3,1,1.737040156,4.12382434,0.296379511,0.166414939
2,5,6,0.833333333,0.2,1,1.737040156,4.12382434,0.296379511,0.166414939
2,3,6,0.5,0.3,1,1.737040156,4.12382434,0.296379511,0.166414939
2,4,5,0.8,0.1,1,1.737040156,4.12382434,0.296379511,0.166414939
2,2,4,0.5,0.6,2,1.737040156,4.12382434,0.296379511,0.166414939
2,1,4,0.25,0.6,2,1.737040156,4.12382434,0.296379511,0.166414939
2,2,4,0.5,0.6,2,1.737040156,4.12382434,0.296379511,0.166414939
2,2,5,0.4,0.3,1,1.737040156,4.12382434,0.296379511,0.166414939
2,5,5,1,0.2,1,1.737040156,4.12382434,0.296379511,0.166414939
2,3,4,0.75,0.6,1,1.737040156,4.12382434,0.296379511,0.166414939
2,1,3,0.333333333,1,2,1.737040156,4.12382434,0.296379511,0.166414939
2,3,4,0.75,0.4,2,1.737040156,4.12382434,0.296379511,0.166414939
2,3,5,0.6,0.1,1,1.737040156,4.12382434,0.296379511,0.166414939
2,1,4,0.25,0.2,2,1.737040156,4.12382434,0.296379511,0.166414939
2,2,4,0.5,0.1,1,1.737040156,4.12382434,0.296379511,0.166414939
2,1,7,0.142857143,0.9,2,1.737040156,4.12382434,0.296379511,0.166414939
2,3,5,0.6,0.1,1,1.737040156,4.12382434,0.296379511,0.166414939
2,3,4,0.75,0.5,2,1.737040156,4.12382434,0.296379511,0.166414939
2,3,5,0.6,0.6,2,1.737040156,4.12382434,0.296379511,0.166414939
2,2,3,0.666666667,0.1,2,1.737040156,4.12382434,0.296379511,0.166414939
2,2,3,0.666666667,0.2,2,1.737040156,4.12382434,0.296379511,0.166414939
2,1,6,0.166666667,0.6,2,1.737040156,4.12382434,0.296379511,0.166414939
2,3,6,0.5,0,1,1.737040156,4.12382434,0.296379511,0.166414939
2,1,4,0.25,0.2,1,1.737040156,4.12382434,0.296379511,0.166414939
2,1,6,0.166666667,0.4,2,1.737040156,4.12382434,0.296379511,0.166414939
2,2,6,0.333333333,0.3,1,1.737040156,4.12382434,0.296379511,0.166414939
2,3,5,0.6,0.6,2,1.737040156,4.12382434,0.296379511,0.166414939
2,4,4,1,0.5,1,1.737040156,4.12382434,0.296379511,0.166414939
2,3,4,0.75,0,1,1.737040156,4.12382434,0.296379511,0.166414939
2,1,7,0.142857143,1,2,1.737040156,4.12382434,0.296379511,0.166414939
2,0,4,0,0.8,2,1.737040156,4.12382434,0.296379511,0.166414939
2,1,3,0.333333333,0.6,2,1.737040156,4.12382434,0.296379511,0.166414939
2,3,6,0.5,0.6,2,1.737040156,4.12382434,0.296379511,0.166414939
2,2,5,0.4,0.4,2,1.737040156,4.12382434,0.296379511,0.166414939
2,1,3,0.333333333,0.4,2,1.737040156,4.12382434,0.296379511,0.166414939
2,2,3,0.666666667,0.6,1,1.737040156,4.12382434,0.296379511,0.166414939
2,4,6,0.666666667,1,1,1.737040156,4.12382434,0.296379511,0.166414939
2,0,4,0,1,2,1.737040156,4.12382434,0.296379511,0.166414939
2,1,3,0.333333333,0.5,2,1.737040156,4.12382434,0.296379511,0.166414939
2,3,4,0.75,0.3,1,1.737040156,4.12382434,0.296379511,0.166414939
2,2,4,0.5,0.9,2,1.737040156,4.12382434,0.296379511,0.166414939
2,3,3,1,0.4,1,1.737040156,4.12382434,0.296379511,0.166414939
2,5,8,0.625,0.1,1,1.737040156,4.12382434,0.296379511,0.166414939
2,2,5,0.4,0.1,1,1.737040156,4.12382434,0.296379511,0.166414939
2,2,3,0.666666667,0.6,1,1.737040156,4.12382434,0.296379511,0.166414939
2,3,3,1,0.7,2,1.737040156,4.12382434,0.296379511,0.166414939
2,3,6,0.5,0.5,2,1.737040156,4.12382434,0.296379511,0.166414939
2,2,4,0.5,0.5,2,1.737040156,4.12382434,0.296379511,0.166414939
2,0,3,0,0.8,2,1.737040156,4.12382434,0.296379511,0.166414939
2,0,6,0,0.8,2,1.737040156,4.12382434,0.296379511,0.166414939
2,2,4,0.5,0.3,1,1.737040156,4.12382434,0.296379511,0.166414939
2,3,4,0.75,0.7,2,1.737040156,4.12382434,0.296379511,0.166414939
3,1,3,0.333333333,0.7,1,0.7517256,5.928627638,0.112527822,0.428957734
3,6,6,1,0.7,2,0.7517256,5.928627638,0.112527822,0.428957734
3,5,5,1,0.6,1,0.7517256,5.928627638,0.112527822,0.428957734
