-6.7408	0.83153	0.057813	-1.2432	-0.99699	0.044279	-1.4275	-1.4664	0.45111	0.6876	0.12398	-1.9516	1.1611	-0.16851	1.938	1.2611	2.8111	1.8173	0.8199	-0.60246	0.50893	-1.2856	-0.5809	1.4722	1.8812	0.011784	-0.61187	-0.48818	-0.56884	2.2233	0.9991	3.2885	-0.66172	-0.96291	-0.24989	-0.69204	-0.44588	-1.3749
0.83153	-3.0388	-1.0631	-1.886	-1.7356	-0.38932	-1.3287	-1.3676	0.70486	1.8883	-2.3358	-0.38908	0.72747	1.1077	0.97203	-1.0796	-0.29103	-0.55229	0.49985	0.18371	3.9954	-0.49939	1.0475	-0.74547	0.030397	2.3716	-1.4455	1.1403	2.7311	1.7897	0.72043	-1.2107	-0.89835	-0.86408	-1.3708	0.0053326	2.6918	-1.2761
0.057813	-1.0631	-4.3648	0.93998	1.5159	0.49998	1.2412	1.1716	0.90681	-1.755	2.7751	2.6513	-1.016	2.332	2.8913	-0.47863	-1.4272	2.273	-1.9369	1.073	0.91799	3.3873	0.85047	0.9522	-0.74333	-1.4839	1.0204	-0.50739	-1.0888	-2.7727	-1.7163	-1.3293	0.03808	0.95408	0.93629	3.4668	-1.9415	2.4099
-1.2432	-1.886	0.93998	-3.5913	2.7798	-2.1436	0.92604	0.34873	-0.89173	0.086426	-0.85196	0.1405	0.55989	-1.7921	-1.3662	0.18184	-1.2941	-0.62354	-0.30075	-1.0238	-1.763	0.14249	-1.1821	-0.58072	-0.68141	0.15228	0.0067217	0.39399	1.055	2.3638	-1.5635	-2.1521	-1.8076	4.3151	-0.2208	1.841	0.43629	-1.498
-0.99699	-1.7356	1.5159	2.7798	-3.4818	-1.1557	-1.4002	3.8488	-0.74129	-2.3987	0.97329	-1.9243	0.80606	-0.52351	0.45901	-1.1511	2.9112	-1.9564	2.5635	-0.77767	0.15392	-1.9321	-1.7733	-1.0762	-2.3006	-1.1806	2.8602	1.4707	-0.088104	-2.4695	-1.4131	-2.0017	2.0633	0.73926	1.923	1.6087	1.5458	-1.3476
0.044279	-0.38932	0.49998	-2.1436	-1.1557	-5.5594	-0.74127	0.18895	1.6077	1.8441	-0.050452	1.8884	-1.0296	2.1879	-1.1952	-0.49216	-2.0715	-2.9876	-0.12973	-0.95617	1.6655	0.24573	2.4119	-0.15803	-1.6019	-0.52172	-1.7906	0.66837	0.56913	-0.93548	0.93588	0.096201	-0.99826	-2.3389	0.06968	0.59277	2.2199	1.4207
-1.4275	-1.3287	1.2412	0.92604	-1.4002	-0.74127	-2.9799	-1.0322	-0.33443	-1.9918	0.69865	-0.78555	-1.2816	-0.98317	-2.2923	-0.74421	-1.4785	-0.2589	0.034355	-1.2082	-0.27662	0.49645	-0.37313	-1.5068	-0.12411	2.2062	3.7348	-1.2737	-1.3544	-0.31242	-1.0062	-1.5948	2.7524	0.46462	3.6506	3.2365	0.27783	-0.94073
-1.4664	-1.3676	1.1716	0.34873	3.8488	0.18895	-1.0322	-6.8859	1.5649	-1.0838	-1.1864	0.63926	-1.3205	1.9677	1.0904	-0.78312	-1.5174	-0.29781	2.2257	-1.2471	-1.2446	0.75277	-1.4054	-0.44899	-0.078688	-0.81268	1.7217	0.3947	-1.3933	-0.35134	3.3135	-0.19476	-0.32009	-0.5676	0.6318	-1.5165	2.1772	-0.97965
0.45111	0.70486	0.90681	-0.89173	-0.74129	1.6077	-0.33443	1.5649	-12.004	1.5079	0.36421	2.0689	1.0344	1.7497	0.59161	-0.085328	0.70325	0.39998	1.9544	1.5306	0.38226	1.8292	1.1287	1.3455	-1.2348	-0.11489	1.4137	0.12337	0.14023	-0.52864	-0.34734	0.50303	0.43138	1.3474	1.3296	1.9088	0.93671	-0.28185
0.6876	1.8883	-1.755	0.086426	-2.3987	1.8441	-1.9918	-1.0838	1.5079	-4.8842	-0.34623	-1.7841	0.32395	0.0168	1.775	-0.79577	-0.58315	-2.5481	0.6155	1.6741	-0.31029	-0.62987	0.47585	-0.46164	3.4878	3.3867	0.71771	-0.37836	1.2125	-0.36399	0.83609	-0.20741	-0.27907	0.63694	-1.087	0.32693	0.61087	-0.9923
